"CID","SMILES"
3241717,"CCCN1CCN(CC1)CCCNC(=O)CN2C(=O)COC3=CC=CC=C32"
3241835,"COC1=CC(=C(C=C1)OC)C2=NOC(C2)C(=O)NCC3CCCO3"
3241854,"CCOC(=O)N1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)F)C(=O)NC3=CC=CC(=C3C)C"
3241889,"CC1=CC=C(C=C1)CS(=O)(=O)CC2=CC=C(O2)C(=O)NCCCN3CCOCC3"
2991331,"COC1=CC=CC=C1CNC(=O)C2CCCN(C2)S(=O)(=O)C"
3242054,"CCOC1=C(C=C2C(=C1)C(=O)N(C(=O)N2)CC3CCC(CC3)C(=O)NCCC(C)C)OCC"
12005039,"C1=CSC(=C1)NC(=O)NC2=C(C=C(C=C2)Br)F"
3438532,"C1CCC(CC1)(C(=O)NC2CCCC2)NC(=O)CC3=CC=CS3"
4259693,"COC1=CC=CC(=C1OC)C2N(C(=O)CS2)C3=CC=C(C=C3)Cl"
12005081,"CC[N+](CC)(CC#CC1=CC=CC=C1)CC(=O)C2=CC=C(C=C2)Cl"
12005084,"CC1=CC=C(C=C1)CCNC(=O)CCC2=NC3=CC=CC=C3N2"
12005099,"CC1CN(CCN1C2=CC=CC(=C2)C)CC3=NC4=C(C=C(C=C4)[N+](=O)[O-])C(=O)N3C5=CC(=CC=C5)OC"
3579362,"CC1=CC=C(C=C1)C(=O)COC(=O)C(CCSC)NC(=O)C23CC4CC(C2)CC(C4)C3"
12005105,"CC1=CC=CC(=C1)C=C2CCC(C2=O)C3CCCC3"
12005109,"COC1=CC2=NC3=C(C=C2C=C1)C=C(S3)C(=O)NCCN4CCC5=CC=CC=C5C4"
12005124,"CCOC(=O)C1=C(N(N=C1)CCOC(=O)C2=CC=C(C=C2)F)NC(=O)C3=CC=C(C=C3)F"
20846838,"CCOC(=O)C1(CC(OC1=O)C)CC(=NNC(=O)N)C"
7256101,"C1=CC=C(C(=C1)CN2C(=O)C(=CC3=CC=CO3)NC2=O)F"
12005147,"CCOC(=O)C1=C(N(N=C1)CCOC(=O)C2=CC(=CC=C2)F)NC(=O)C3=CC(=CC=C3)F"
12005148,"CC1=CC=C(C=C1)C2=NC3(CCCCC3)NC2=S"
12005172,"COC1=CC=CC=C1CN=C2C(=NN(N2O)C3=CC4=C(C=C3)OCCO4)[N+](=O)[O-]"
9664535,"COC1=C(C=CC(=C1)C=NNC(=O)CC2=CC=CC=C2)OC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-]"
9682481,"CN(C)C(=O)C[N+]1=CC=CC(=C1)C=NO"
12005192,"CC1=CC(=NN1)NC(=O)CN2C3=CC(=C(C=C3C(=O)N(C2=O)C4=CC(=CC=C4)OC)OC)OC"
4455754,"CCNC1=NC(=NC(=N1)N2CCC(CC2)CC3=CC=CC=C3)OC"
9596811,"CCCNC(=O)C(=O)NN=CC1=CC=CS1"
9597156,"COC1=CC=CC=C1C=NNC(=O)C(=O)NC2=CC=CC=C2OC(C(F)F)(F)F"
5023128,"CCOC(=O)C(=O)NNC1=CC=CC=C1C"
12005201,"CCOC1=CC=C(C=C1)NC(=S)NCCCN2CCN(CC2)C3CCCCC3"
12005207,"CC1(C(C(=O)C2=CC=CC=C2O1)(SNC3=CC=C(C=C3)F)Cl)C"
9692996,"CN(C1CCCCC1)C2=C(C=C(C=C2)[N+](=O)[O-])C=NNC(=O)COC3=CC=CC=C3"
3432701,"CC(C)CCC(CCC(C)C)(C(=O)NN(C1=CC=CC=C1)C(=O)OC)O"
9562888,"CC1=CC(=C(C(=O)N1N=CC2=CC=CS2)C#N)C"
4129978,"CCCCOC1=CC=C(C=C1)C(C)NC(=O)CCS(=O)(=O)CC2=CC=CC=C2F"
12005260,"CC1CC(=O)N(C1=O)C2=CC(=C(C=C2)NCC3=CC=C(C=C3)Cl)[N+](=O)[O-]"
12005268,"CC1=CC=C(C=C1)NC(=S)NCC23C=CC(O2)C4C3C(=O)N(C4=O)C5=CC=C(C=C5)C"
12005280,"C1CC(=O)N(N=C1C2=CC=C(C=C2)Cl)CC(=O)NCCN3CCC4=CC=CC=C4C3"
3567682,"CC(C1=CC=CO1)N(CC2=CC=CO2)C(=S)NC3=CC(=CC=C3)OC"
5057277,"COC1=CC(=C(C=C1)CNC(=O)CCSCC2=CC(=CC=C2)Cl)OC"
12005291,"C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N3C(=O)NC4=CC=CC=C4N3O"
3875676,"C1=CC=C(C=C1)C2=NC(C(=O)N2)(C(F)(F)F)NC3=CC=CC=N3"
12005325,"C1CCC(CC1)C2=NC3=CC=CC=C3C(=O)N2NC(=O)C4=CC=C(C=C4)[N+](=O)[O-]"
12005336,"C1=CC=C(C=C1)C=CC(=O)NN2C(=NC3=CC=CC=C3C2=O)C4=CC=CS4"
4065489,"CC1=CC=C(C=C1)NC(=S)N(CCN2CCCCC2)CC3=CC=CO3"
6059340,"C1CC2=NON=C2C(=NOCC3=C(C=C(C=C3)Cl)Cl)C1"
12005367,"CCOC(=O)C1=CC=C(C=C1)NC(=S)N(CCCN2CCCC2)CC3=CC=CO3"
6621000,"CCOC1=CC2=C(C(=CN=C2C=C1)C(=O)OCC)N(C)CC3=CC=CC=C3"
12005385,"COC1=CC=CC(=C1OC)C(=O)NN2C(=NC3=CC=CC=C3C2=O)C4=CC=CS4"
9647433,"CC1=CC(=NN1CC(=O)NN=CC2=CC3=C(C=C2)OCO3)C"
1561320,"CCCOC(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)OC3=CC(=CC(=C3)C)C"
6516707,"C1CN2CC3CN1CC(C2)(C3=NNC(=O)C4=CC=C(C=C4)F)C5=CC=CC=C5"
12005465,"CC1=C(C(=CC=C1)C)NC2=C(C(=O)OC2OC(C)C)Cl"
